Date,Open,High,Low,Close
03.05.2003,1.12284,1.12284,1.12284,1.12284
04.05.2003,1.12284,1.13009,1.12014,1.12774
05.05.2003,1.12728,1.14506,1.12723,1.14338
06.05.2003,1.14297,1.14438,1.13265,1.13647
07.05.2003,1.13605,1.15077,1.13006,1.14996
08.05.2003,1.14932,1.15366,1.14346,1.14877
09.05.2003,1.14877,1.14877,1.14877,1.14877
10.05.2003,1.14877,1.14877,1.14877,1.14877
11.05.2003,1.14888,1.16229,1.14888,1.15427
12.05.2003,1.15357,1.15739,1.1462,1.1512
13.05.2003,1.1512,1.1537,1.14667,1.1494
14.05.2003,1.14913,1.14967,1.13744,1.13847
15.05.2003,1.13775,1.15766,1.13675,1.15705
16.05.2003,1.15705,1.15705,1.15705,1.15705
17.05.2003,1.15705,1.15705,1.15705,1.15705
18.05.2003,1.16564,1.17353,1.16205,1.16566
19.05.2003,1.1652,1.17146,1.15998,1.17039
20.05.2003,1.16989,1.17437,1.1661,1.16716
21.05.2003,1.16654,1.17266,1.16181,1.16908
22.05.2003,1.16877,1.18363,1.16635,1.18236
23.05.2003,1.18236,1.18236,1.18236,1.18236
24.05.2003,1.18236,1.18236,1.18236,1.18236
25.05.2003,1.182,1.18744,1.17955,1.1866
26.05.2003,1.186,1.19286,1.18166,1.18258
27.05.2003,1.18191,1.18439,1.17037,1.17619
28.05.2003,1.17587,1.18998,1.16909,1.18803
29.05.2003,1.18757,1.19144,1.17419,1.17661
30.05.2003,1.17661,1.17661,1.17661,1.17661
31.05.2003,1.17661,1.17815,1.17661,1.17815
01.06.2003,1.17079,1.17652,1.16504,1.17443
02.06.2003,1.17426,1.17773,1.16858,1.17361
03.06.2003,1.17295,1.17463,1.16609,1.16615
04.06.2003,1.16565,1.1885,1.16273,1.18375
05.06.2003,1.18319,1.18772,1.16829,1.16971
06.06.2003,1.16971,1.16971,1.16971,1.16971
07.06.2003,1.16971,1.16971,1.16971,1.16971
08.06.2003,1.1687,1.17846,1.16548,1.17131
09.06.2003,1.17076,1.174,1.16692,1.16729
10.06.2003,1.16676,1.17805,1.16571,1.17391
11.06.2003,1.17359,1.18038,1.1702,1.17608
12.06.2003,1.17582,1.18758,1.17338,1.186
13.06.2003,1.186,1.186,1.186,1.186
14.06.2003,1.186,1.186,1.186,1.186
15.06.2003,1.18624,1.19263,1.18198,1.18326
16.06.2003,1.18316,1.18652,1.1767,1.17907
17.06.2003,1.17844,1.18016,1.16604,1.16853
18.06.2003,1.1677,1.17372,1.15826,1.17173
19.06.2003,1.1713,1.17333,1.15501,1.1601
20.06.2003,1.1601,1.1601,1.1601,1.1601
21.06.2003,1.1601,1.1601,1.1601,1.1601
22.06.2003,1.15955,1.16028,1.15069,1.15399
23.06.2003,1.15374,1.15801,1.1475,1.15141
24.06.2003,1.15118,1.16205,1.14897,1.15368
25.06.2003,1.15379,1.15509,1.14125,1.14151
26.06.2003,1.14145,1.14665,1.13984,1.14224
27.06.2003,1.14224,1.14224,1.14224,1.14224
28.06.2003,1.14224,1.14224,1.14224,1.14224
29.06.2003,1.14238,1.15121,1.13964,1.15086
30.06.2003,1.15084,1.16069,1.1501,1.15578
01.07.2003,1.15549,1.15668,1.15035,1.15366
02.07.2003,1.15345,1.15424,1.14316,1.14915
03.07.2003,1.14865,1.14999,1.14462,1.14862
04.07.2003,1.14862,1.14862,1.14862,1.14862
